time, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, mag_x, mag_y, mag_z, baro, gps_lat, gps_lon, gps_alt
0.000000, -0.0085215, -0.0117297, 9.8350039, -0.9828225, -0.4323513, -0.0706132, 52.0860138, -0.4748088, 2.4082973, 101325.601562, 36.0000005886, 140.0000088894, -0.454975
0.002500, 0.0647700, -0.0727383, 10.2228270, 0.6146723, 0.0250995, 0.6054275, 52.0860138, -0.4748088, 2.4082973, 101325.601562, 36.0000005886, 140.0000088894, -0.454975
0.005000, -0.1380359, 0.0293715, 9.4756622, 0.9245600, 0.0637975, 0.0062662, 52.0860138, -0.4748088, 2.4082973, 101325.601562, 36.0000005886, 140.0000088894, -0.454975
0.007500, 0.1479815, 0.2309804, 10.1464920, 0.0827792, -0.0148948, -0.6959999, 52.0860138, -0.4748088, 2.4082973, 101325.601562, 36.0000005886, 140.0000088894, -0.454975
0.010000, -0.1380577, -0.1664574, 9.6285372, 0.4695235, 0.6947457, -0.9501733, 54.9770393, 6.8887362, 2.7517757, 101325.601562, 36.0000005886, 140.0000088894, -0.454975
0.012500, 0.1859917, 0.0595846, 10.0717430, 0.6135622, -0.7826777, -0.3806025, 54.9770393, 6.8887362, 2.7517757, 101325.601562, 36.0000005886, 140.0000088894, -0.454975
0.015000, -0.1613655, 0.0248182, 9.5833464, 0.1314959, -0.1374027, -0.0886463, 54.9770393, 6.8887362, 2.7517757, 101325.601562, 36.0000005886, 140.0000088894, -0.454975
0.017500, -0.1237992, 0.0108687, 9.7367849, -0.4055862, -0.1362525, -0.6889052, 54.9770393, 6.8887362, 2.7517757, 101325.601562, 36.0000005886, 140.0000088894, -0.454975
0.020000, 0.3265542, -0.0099832, 10.0673008, 0.6599159, 0.0354504, 0.1260189, 48.2441063, -1.4839612, -5.2080650, 101324.867188, 36.0000005886, 140.0000088894, -0.454975
0.022500, -0.4581676, -0.2286174, 9.7164612, -0.2259157, 0.3836060, 0.2774223, 48.2441063, -1.4839612, -5.2080650, 101324.867188, 36.0000005886, 140.0000088894, -0.454975
0.025000, 0.3714476, 0.0524417, 9.8419399, -0.0206932, 0.1291071, -0.2161971, 48.2441063, -1.4839612, -5.2080650, 101324.867188, 36.0000005886, 140.0000088894, -0.454975
0.027500, -0.0293755, -0.2852423, 9.9776192, 0.0923041, 0.0168968, -0.1789859, 48.2441063, -1.4839612, -5.2080650, 101324.867188, 36.0000005886, 140.0000088894, -0.454975
0.030000, -0.0703689, 0.3521090, 9.4908218, 0.3224886, 0.1675157, -0.3797132, 53.9725304, 2.6989036, 3.1280718, 101324.867188, 36.0000005886, 140.0000088894, -0.454975
0.032500, 0.1427988, -0.1567098, 10.0406580, 0.2447924, -0.6374029, -0.6257979, 53.9725304, 2.6989036, 3.1280718, 101324.867188, 36.0000005886, 140.0000088894, -0.454975
0.035000, -0.2737643, 0.2120452, 9.7146368, 1.0479316, 0.7372531, 0.9056805, 53.9725304, 2.6989036, 3.1280718, 101324.867188, 36.0000005886, 140.0000088894, -0.454975
0.037500, 0.2469903, -0.3551816, 9.9709349, 0.1291841, -0.3151866, 0.0926292, 53.9725304, 2.6989036, 3.1280718, 101324.867188, 36.0000005886, 140.0000088894, -0.454975
0.040000, 0.2909812, 0.1902631, 9.4741268, -0.2466997, -1.2808414, 0.1687883, 48.7476807, 1.0028257, 1.0707841, 101321.757812, 36.0000005886, 140.0000088894, -0.454975
0.042500, -0.5971434, 0.1754998, 10.3706179, -0.2669547, 1.4387653, -0.2532365, 48.7476807, 1.0028257, 1.0707841, 101321.757812, 36.0000005886, 140.0000088894, -0.454975
0.045000, 0.5511216, -0.2402773, 9.3766766, 1.0692794, -0.1316800, -0.4940721, 48.7476807, 1.0028257, 1.0707841, 101321.757812, 36.0000005886, 140.0000088894, -0.454975
0.047500, -0.1936218, -0.3379025, 10.0809584, -0.3473178, 0.3131952, 0.2188948, 48.7476807, 1.0028257, 1.0707841, 101321.757812, 36.0000005886, 140.0000088894, -0.454975
0.050000, 0.2860038, 0.2444629, 9.7687836, 0.1213499, -0.2064092, -1.1583017, 56.1361275, 4.6086144, -5.9148259, 101321.757812, 36.0000031609, 140.0000153310, -3.385428
0.052500, -0.3569449, -0.4546417, 9.7151146, -0.7945287, 0.1257879, 0.4575728, 56.1361275, 4.6086144, -5.9148259, 101321.757812, 36.0000031609, 140.0000153310, -3.385428
0.055000, 0.0073585, 0.1656951, 10.3159103, 0.1064975, -0.7677978, 0.5939282, 56.1361275, 4.6086144, -5.9148259, 101321.757812, 36.0000031609, 140.0000153310, -3.385428
0.057500, -0.0372241, 0.0437038, 9.4543037, -0.1420955, 0.4966137, 0.1039526, 56.1361275, 4.6086144, -5.9148259, 101321.757812, 36.0000031609, 140.0000153310, -3.385428
0.060000, 0.1344412, 0.1210134, 10.3045645, -0.7287520, 0.4866246, 0.3648568, 48.0458717, 2.7901583, 1.5119060, 101322.468750, 36.0000031609, 140.0000153310, -3.385428
0.062500, 0.0168823, -0.2867013, 9.6355743, 0.0746876, 0.2386131, 0.4066858, 48.0458717, 2.7901583, 1.5119060, 101322.468750, 36.0000031609, 140.0000153310, -3.385428
0.065000, -0.2062423, 0.0674257, 9.6482296, 0.5470680, -0.4647818, 0.0645119, 48.0458717, 2.7901583, 1.5119060, 101322.468750, 36.0000031609, 140.0000153310, -3.385428
0.067500, 0.0727098, 0.2148731, 10.0448313, -0.3534737, 0.6391780, -0.2855404, 48.0458717, 2.7901583, 1.5119060, 101322.468750, 36.0000031609, 140.0000153310, -3.385428
0.070000, 0.1440951, -0.0593507, 9.4858618, -0.3318648, -0.8562975, -0.4298959, 51.7293587, -0.8723736, 2.2665176, 101322.468750, 36.0000031609, 140.0000153310, -3.385428
0.072500, -0.2198867, 0.0116684, 10.0431700, -0.7223996, -0.4109002, 0.0612352, 51.7293587, -0.8723736, 2.2665176, 101322.468750, 36.0000031609, 140.0000153310, -3.385428
0.075000, 0.3634746, -0.1276366, 9.4490576, 0.5164198, 0.2172876, -1.0273596, 51.7293587, -0.8723736, 2.2665176, 101322.468750, 36.0000031609, 140.0000153310, -3.385428
0.077500, -0.2651849, 0.2973975, 10.0630636, -0.2288476, 0.0947830, -0.4214480, 51.7293587, -0.8723736, 2.2665176, 101322.468750, 36.0000031609, 140.0000153310, -3.385428
0.080000, 0.1899746, -0.3144327, 9.7576342, -0.0821635, 0.5268015, -0.0405349, 49.1144524, -1.0751261, 6.1200614, 101327.015625, 36.0000031609, 140.0000153310, -3.385428
0.082500, 0.1698615, 0.1778357, 9.8749599, -0.0567977, 0.8321002, -0.0338209, 49.1144524, -1.0751261, 6.1200614, 101327.015625, 36.0000031609, 140.0000153310, -3.385428
0.085000, -0.4629440, -0.2162761, 9.8626528, -0.2325615, -0.3886103, 0.1549648, 49.1144524, -1.0751261, 6.1200614, 101327.015625, 36.0000031609, 140.0000153310, -3.385428
0.087500, 0.2561633, 0.1223296, 9.7646742, 0.6529912, 0.3913799, 0.0173983, 49.1144524, -1.0751261, 6.1200614, 101327.015625, 36.0000031609, 140.0000153310, -3.385428
0.090000, -0.1614737, -0.0984295, 9.8615160, -1.5607995, -0.2570515, 0.5640264, 52.8711052, -0.4342732, -4.1855712, 101327.015625, 36.0000031609, 140.0000153310, -3.385428
0.092500, 0.0477463, -0.3545094, 10.1211014, 0.0572931, -0.3645954, -0.1088662, 52.8711052, -0.4342732, -4.1855712, 101327.015625, 36.0000031609, 140.0000153310, -3.385428
0.095000, 0.0604484, 0.1962282, 9.6317806, -1.5576844, 0.7893471, -0.3119729, 52.8711052, -0.4342732, -4.1855712, 101327.015625, 36.0000031609, 140.0000153310, -3.385428
0.097500, -0.1963089, 0.0352134, 9.9378757, -0.0751970, -0.6694252, -0.1875601, 52.8711052, -0.4342732, -4.1855712, 101327.015625, 36.0000031609, 140.0000153310, -3.385428
0.100000, 0.1210218, 0.1138788, 9.5477533, -0.3625968, 0.9344877, -0.2405574, 50.1053276, -0.2498457, 0.4860622, 101325.000000, 36.0000158208, 140.0000208108, -0.860686
0.102500, 0.0409751, -0.2658527, 9.9154902, 0.4196243, -0.2901666, -0.1312317, 50.1053276, -0.2498457, 0.4860622, 101325.000000, 36.0000158208, 140.0000208108, -0.860686
