time,x,y,z,vx,vy,vz,roll,pitch,yaw
0,1.22464679964561e-15,0,-0,-0.000349691118152446,0,0,0,0,0
0.0025,-8.74227794156468e-07,0,-0,-0.000349691118152446,0,0,0,0,-8.65142220905017e-06
0.005,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0075,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.01,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0125,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.015,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0175,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.02,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0225,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.025,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0275,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.03,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0325,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.035,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0375,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.04,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0425,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.045,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0475,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.05,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0525,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.055,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0575,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.06,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0625,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.065,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0675,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.07,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0725,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.075,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0775,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.08,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0825,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.085,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0875,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.09,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0925,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.095,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.0975,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1025,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.105,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1075,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.11,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1125,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.115,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1175,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.12,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1225,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.125,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1275,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.13,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1325,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.135,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1375,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.14,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1425,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.145,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1475,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.15,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1525,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.155,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1575,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.16,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1625,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.165,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1675,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.17,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1725,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.175,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1775,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.18,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1825,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.185,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1875,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.19,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1925,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.195,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.1975,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2025,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.205,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2075,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.21,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2125,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.215,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2175,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.22,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2225,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.225,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2275,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.23,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2325,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.235,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2375,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.24,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2425,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.245,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2475,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.25,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2525,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.255,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2575,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.26,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2625,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.265,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2675,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.27,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2725,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.275,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2775,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.28,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2825,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.285,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2875,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.29,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2925,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.295,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.2975,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3025,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.305,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3075,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.31,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3125,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.315,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3175,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.32,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3225,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.325,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3275,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.33,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3325,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.335,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3375,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.34,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3425,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.345,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3475,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.35,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3525,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.355,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3575,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.36,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3625,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.365,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3675,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.37,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3725,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.375,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3775,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.38,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3825,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.385,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3875,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.39,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3925,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.395,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.3975,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4025,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.405,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4075,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.41,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4125,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.415,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
0.4175,-8.74227794156468e-07,0,-0,0,0,0,0,0,-8.65142220905017e-06
