Run,Status,PosX_RMSE_m,PosY_RMSE_m,PosZ_RMSE_m,PosX_OK,PosY_OK,PosZ_OK,Vel_RMSE_ms,Roll_RMSE_deg,Pitch_RMSE_deg,Yaw_RMSE_deg,BA_x,BA_y,BA_z,BG_x_deg,BG_y_deg,BG_z_deg,Max_Innov,Has_NaN,Has_Inf
1,SUCCESS,0.1783,0.1390,0.8087,1,1,1,0.5719,0.2676,0.2765,0.5959,0.064502,-0.102232,1.730876,-0.231417,0.037965,0.003670,0.0000,0,0
2,SUCCESS,0.1674,0.1449,0.8261,1,1,1,0.5688,0.2646,0.3028,0.6279,0.072607,-0.089086,1.734974,-0.016376,0.087466,0.193397,0.0000,0,0
3,SUCCESS,0.1684,0.1346,0.8431,1,1,1,0.5701,0.2529,0.2676,0.6532,0.081397,-0.120999,1.751588,0.042327,-0.016261,0.349601,0.0000,0,0
4,SUCCESS,0.1571,0.1483,0.7816,1,1,1,0.5687,0.2825,0.2669,0.5751,0.084107,-0.114561,1.733642,-0.227465,-0.076033,0.171331,0.0000,0,0
5,SUCCESS,0.1662,0.1557,0.8012,1,1,1,0.5701,0.2694,0.2643,0.5982,0.067203,-0.128288,1.729841,0.036357,0.100460,-0.142751,0.0000,0,0
6,SUCCESS,0.1658,0.1564,0.7595,1,1,1,0.5710,0.2508,0.2943,0.5819,0.060520,-0.125462,1.736381,-0.003377,0.059031,-0.100008,0.0000,0,0
7,SUCCESS,0.1696,0.1511,0.8158,1,1,1,0.5725,0.2494,0.2934,0.5662,0.069068,-0.078916,1.729928,-0.087465,-0.035069,0.178138,0.0000,0,0
8,SUCCESS,0.1717,0.1443,0.8051,1,1,1,0.5694,0.2508,0.2949,0.6138,0.072284,-0.127298,1.733299,0.073315,0.067448,0.007534,0.0000,0,0
9,SUCCESS,0.1882,0.1668,0.8226,1,1,1,0.5715,0.2693,0.2778,0.5955,0.045856,-0.119872,1.728381,-0.112195,0.082373,0.049925,0.0000,0,0
10,SUCCESS,0.1848,0.1607,0.8726,1,1,1,0.5730,0.2507,0.2813,0.5772,0.026282,-0.132292,1.739036,0.132195,0.392999,-0.051143,0.0000,0,0
