k,stage,traceP,rcondP,K_norm,y_norm
1,post_predict,0.15001427923,0.942365162425,NaN,NaN
2,post_predict,0.150053653318,0.888640238866,NaN,NaN
3,post_predict,0.150118522651,0.838731719443,NaN,NaN
4,post_predict,0.150208226071,0.791417257937,NaN,NaN
5,post_predict,0.150324076356,0.744849891502,NaN,NaN
6,post_predict,0.15046235023,0.701476676988,NaN,NaN
7,post_predict,0.150627673713,0.66010333619,NaN,NaN
8,post_predict,0.150817574922,0.620816382924,NaN,NaN
9,post_predict,0.14525156114,0.316840804587,NaN,NaN
10,post_predict,0.145489714081,0.306352021341,NaN,NaN
10,gps_pre,0.145489714081,0.306352021341,0.0024123668233,4.93169407867
10,gps_post,0.145454074678,0.306153106273,0.00240861224712,4.93169407867
11,post_predict,0.145722210444,0.29591004331,NaN,NaN
12,post_predict,0.146014872396,0.286001382178,NaN,NaN
13,post_predict,0.146333680385,0.276418283299,NaN,NaN
14,post_predict,0.146675039659,0.267302805716,NaN,NaN
15,post_predict,0.147044947203,0.258418986428,NaN,NaN
16,post_predict,0.147436924528,0.249949513126,NaN,NaN
NaN,baro_post,0.131069427003,0.128989548406,0.0222426204178,4.14021631921
17,post_predict,0.13133319641,0.123553872839,NaN,NaN
18,post_predict,0.131612316112,0.118356683578,NaN,NaN
19,post_predict,0.131906269436,0.113394724476,NaN,NaN
20,post_predict,0.132216169743,0.108646434117,NaN,NaN
NaN,baro_post,0.126585261718,0.000213080498494,0.0302724311402,2.6479663107
20,gps_pre,0.126585261718,0.000213080498493,1.41801642809,2.97243383952
21,post_predict,0.1268505399,0.000219244116085,NaN,NaN
22,post_predict,0.127129132248,0.000224839288732,NaN,NaN
23,post_predict,0.127419910751,0.000229927728507,NaN,NaN
24,post_predict,0.127722608872,0.000234548383158,NaN,NaN
25,post_predict,0.128040498192,0.000238663022179,NaN,NaN
26,post_predict,0.128373699418,0.000242304373966,NaN,NaN
27,post_predict,0.128713826693,0.000245667497877,NaN,NaN
28,post_predict,0.129072160467,0.00024855608586,NaN,NaN
NaN,baro_post,0.124257798752,0.000100218368492,0.309819594747,1.18374366557
29,post_predict,0.124646892395,0.000107363345484,NaN,NaN
30,post_predict,0.125052938848,0.000113985139508,NaN,NaN
30,gps_pre,0.125052938848,0.000113985139508,1.42407018918,4.21420541097
31,post_predict,0.125470108627,0.000120154030968,NaN,NaN
32,post_predict,0.125900249719,0.000125884004427,NaN,NaN
NaN,baro_post,0.124773714626,0.000121324194953,0.0773402990649,1.2607805462
33,post_predict,0.125201483309,0.000125208947792,NaN,NaN
34,post_predict,0.125643697133,0.000127389067334,NaN,NaN
35,post_predict,0.126100396418,0.00012920417659,NaN,NaN
36,post_predict,0.126561321019,0.000130747685758,NaN,NaN
NaN,baro_post,0.125194563797,7.52986467046e-05,0.087902473601,2.37567883405
37,post_predict,0.125663475147,7.4965042589e-05,NaN,NaN
38,post_predict,0.126137578395,7.42908724717e-05,NaN,NaN
39,post_predict,0.126626797166,7.32563883187e-05,NaN,NaN
40,post_predict,0.127127273115,7.19024365827e-05,NaN,NaN
NaN,baro_post,0.126189477283,2.7107428252e-05,0.0531975307461,2.46159596861
40,gps_pre,0.126189477283,2.7107428252e-05,1.43279576121,1.79508031865
41,post_predict,0.126696272656,2.35933839079e-05,NaN,NaN
42,post_predict,0.127212160481,1.97646613768e-05,NaN,NaN
43,post_predict,0.12774307741,1.56413493249e-05,NaN,NaN
44,post_predict,0.128284544408,1.12521293024e-05,NaN,NaN
NaN,baro_post,0.127642477069,2.17709556586e-09,0.0288834586487,0.940203528211
45,post_predict,0.128186612685,6.73897506142e-09,NaN,NaN
46,post_predict,0.128749181986,6.67681572948e-09,NaN,NaN
47,post_predict,0.129321527325,6.61608609903e-09,NaN,NaN
48,post_predict,0.129906778672,6.55666239306e-09,NaN,NaN
NaN,baro_post,0.129037963473,1.92907420964e-09,0.0339376672041,2.95161254307
49,post_predict,0.129628075125,6.41373777785e-09,NaN,NaN
50,post_predict,0.130226905692,6.35468729332e-09,NaN,NaN
50,gps_pre,0.130226905692,6.35468732162e-09,1.44396717943,2.41564631176
51,post_predict,0.130833061404,6.2970910571e-09,NaN,NaN
52,post_predict,0.131453369192,6.24057290891e-09,NaN,NaN
NaN,baro_post,0.130825340058,1.72180654442e-09,0.0226732477264,2.34487239212
53,post_predict,0.131458402719,6.12506430897e-09,NaN,NaN
54,post_predict,0.132094261851,6.06970028863e-09,NaN,NaN
55,post_predict,0.132756720288,6.01501688922e-09,NaN,NaN
