step,time,type,roll_change,pitch_change,yaw_change,px_change,py_change,pz_change,vx_change,vy_change,vz_change
8560,21.3975,position,0.0509887567203862,0.200165751955581,0.00692557510370762,0.105943863466349,0.32406337090292,2.15132907480847,0.0013135317657112,0.00238992957874414,7.61438447696161e-05
8568,21.4175,position,0.0101310161899733,0.217184541655712,0.00680442368661716,0.000673345326664965,0.000100345315360073,2.25134178334818,3.17811143181745e-05,0.000506354954173401,0.000100133979678452
8592,21.4775,position,0.218023331920904,0.210570260128435,0.0075173619312352,0.000550666446301307,9.60444601609822e-05,2.07222728106528,0.000653043840085854,0.000389380354883714,0.000523681444031698
8710,21.7725,position,0.17684205882162,0.031466946794211,0.00664686294169314,0.110222671204795,0.0417074511166025,2.05326695003557,0.000125522617990648,8.49886644765444e-05,1.34545572303413e-05
8712,21.7775,position,0.00786820288138301,0.0571749846155001,0.00736914938156019,0.000462679915458786,0.000103145539165794,2.08093840496235,9.92155079268253e-05,0.000118746993486803,1.16972721981856e-05
8750,21.8725,position,0.0102633914589205,0.0186601201010603,0.00704069364223869,0.363708367973269,0.044453168971355,2.12458893007953,3.62467438286829e-05,0.000573488583298913,1.47257029394776e-05
8752,21.8775,position,0.00973747237142675,0.000289241984461341,0.00715564050619832,0.000440346145381021,9.96088663214323e-05,2.15574648871879,1.94498659547293e-05,2.59934332156736e-05,0.000169360242851635
32544,81.3575,position,0.0349124619901602,0.0369904835933141,0.00774793615892122,0.00120288108472089,0.00093443844046881,2.02165783413556,0.000126860994751621,3.46357882115012e-05,0.00041861853240488
33000,82.4975,position,0.0947774246954225,0.0167598406832781,0.00840414065135064,0.187799995650176,0.142905956109391,2.16959404289528,0.00278993488434703,0.00194100023827687,0.000198648935652024
33008,82.5175,position,0.0078807835494672,0.0702882046621767,0.00815255186321906,0.000614286678140008,0.000467887131406108,2.2591890606297,8.47575258804412e-05,0.000129392199224448,0.000555678589438502
33010,82.5225,position,0.00997852383321174,0.00554981789670705,0.00844887304265285,0.209093092327302,0.260323240752263,2.35354099301144,0.00101286077311299,3.50362390674208e-05,0.000628248342275928
33016,82.5375,position,0.0251589088599928,0.153379158708503,0.00829713217257222,0.000611189183322924,0.000466841654782613,2.37330956535135,0.0003703835746936,0.000261162253960556,0.000176988742866868
33020,82.5475,position,0.0464174693660198,0.0267533437778411,0.00825815367463179,0.108501025930433,0.347907910550581,2.13868514557103,0.00134376900628025,0.000182247509107336,0.000220598710450215
33024,82.5575,position,0.133217805585844,0.0343936421812998,0.00808975512870802,0.00060937874756517,0.000467359526707511,2.17320830251707,0.000150856029250551,0.000330784763063724,0.00014715847648672
