time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,baro,gps_lat,gps_lon,gps_alt
0.780,-0.0018000,0.0042000,9.6792000,32.7988000,31.2958000,30.7083000,-35.1290000,-6.8510000,7.6760000,0.000000,0,0,0
0.790,-0.0018000,0.0042000,9.6792000,32.7988000,31.2958000,30.7083000,-35.1690000,-6.9490000,8.4790000,0.000000,0,0,0
0.800,-0.0006000,0.0018000,9.6804000,32.8140000,31.2958000,30.7312000,-35.2210000,-6.6850000,7.7660000,0.000000,0,0,0
0.810,0.0006000,0.0018000,9.6816000,32.8293000,31.2881000,30.7388000,-35.2330000,-7.0060000,7.6730000,0.000000,0,0,0
0.820,0.0018000,0.0006000,9.6804000,32.8369000,31.2958000,30.7465000,-35.2330000,-7.0060000,7.6730000,0.000000,0,0,0
0.830,0.0030000,0.0018000,9.6792000,32.8445000,31.3034000,30.7388000,-35.4030000,-7.1050000,8.2860000,0.000000,0,0,0
0.840,0.0018000,0.0018000,9.6792000,32.8522000,31.3034000,30.7388000,-34.5680000,-7.0850000,8.6850000,0.000000,0,0,0
0.850,0.0018000,0.0030000,9.6792000,32.8674000,31.2958000,30.7312000,-35.2190000,-6.8770000,8.2540000,0.000000,0,0,0
0.860,0.0006000,0.0018000,9.6804000,32.8903000,31.2881000,30.7312000,-35.4620000,-6.6270000,8.3090000,0.000000,0,0,0
0.870,0.0006000,0.0018000,9.6804000,32.9361000,31.2805000,30.7236000,-35.5340000,-6.8630000,8.5250000,0.000000,0,0,0
0.880,0.0006000,0.0006000,9.6804000,32.9819000,31.2729000,30.7312000,-35.1670000,-6.7970000,9.1380000,0.000000,0,0,0
0.890,-0.0006000,0.0030000,9.6792000,33.0200000,31.2653000,30.7312000,-35.5700000,-7.2010000,8.4110000,0.000000,0,0,0
0.900,-0.0018000,0.0054000,9.6768000,33.0429000,31.2424000,30.7312000,-35.4700000,-6.6420000,8.4870000,0.000000,0,0,0
0.910,-0.0018000,0.0054000,9.6756000,33.0505000,31.2576000,30.7388000,-35.3260000,-6.5250000,7.8950000,0.000000,0,0,0
0.920,-0.0006000,0.0066000,9.6744000,33.0200000,31.3110000,30.7388000,-35.6010000,-6.3920000,8.4840000,0.000000,0,0,0
0.930,0.0006000,0.0078000,9.6732000,32.9819000,31.3568000,30.7312000,-35.2770000,-7.0070000,9.0230000,0.000000,0,0,0
0.940,0.0018000,0.0078000,9.6720000,32.9590000,31.3797000,30.7312000,-35.5850000,-6.7340000,9.3400000,0.000000,0,0,0
0.950,0.0018000,0.0066000,9.6732000,32.9666000,31.3873000,30.7236000,-35.1650000,-6.8080000,8.7850000,0.000000,0,0,0
0.960,0.0030000,0.0054000,9.6744000,32.9895000,31.3950000,30.7159000,-35.4240000,-6.9100000,8.2310000,0.000000,0,0,0
0.970,0.0030000,0.0042000,9.6756000,33.0048000,31.4026000,30.7083000,-35.5960000,-6.9970000,8.2300000,0.000000,0,0,0
0.980,0.0030000,0.0042000,9.6756000,33.0200000,31.4026000,30.7159000,-35.1970000,-6.5830000,8.4260000,0.000000,0,0,0
0.990,0.0018000,0.0042000,9.6744000,33.0200000,31.3873000,30.7083000,-35.5220000,-6.7510000,8.6360000,0.000000,0,0,0
1.000,0.0006000,0.0042000,9.6744000,32.9971000,31.3797000,30.7159000,-35.4260000,-6.4960000,8.8020000,0.000000,0,0,0
1.010,0.0006000,0.0042000,9.6756000,32.9742000,31.3797000,30.7159000,-35.4340000,-6.8420000,8.2540000,0.000000,0,0,0
1.020,0.0006000,0.0030000,9.6768000,32.9514000,31.3797000,30.7236000,-35.5510000,-6.5580000,7.9120000,0.000000,0,0,0
1.030,0.0006000,0.0018000,9.6780000,32.9437000,31.3797000,30.7236000,-35.6580000,-6.9600000,7.6280000,0.000000,0,0,0
1.040,0.0018000,0.0006000,9.6780000,32.9361000,31.3950000,30.7312000,-35.5780000,-6.7640000,7.5470000,0.000000,0,0,0
1.050,0.0006000,0.0006000,9.6768000,32.9361000,31.4102000,30.7312000,-35.7860000,-6.8650000,7.4390000,0.000000,0,0,0
1.060,0.0006000,0.0018000,9.6744000,32.9437000,31.4178000,30.7236000,-35.5300000,-6.6500000,7.5500000,0.000000,0,0,0
1.070,-0.0006000,0.0030000,9.6744000,32.9514000,31.4102000,30.7312000,-35.5050000,-6.7060000,7.7930000,0.000000,0,0,0
1.080,-0.0018000,0.0030000,9.6768000,32.9590000,31.4026000,30.7312000,-35.3690000,-6.5970000,7.6250000,0.000000,0,0,0
1.090,-0.0006000,0.0042000,9.6780000,32.9742000,31.4026000,30.7388000,-35.7900000,-6.4730000,8.5210000,0.000000,0,0,0
1.100,-0.0006000,0.0066000,9.6780000,32.9819000,31.4102000,30.7312000,-35.2990000,-6.4620000,8.5250000,0.000000,0,0,0
1.110,-0.0006000,0.0102000,9.6768000,32.9742000,31.4102000,30.7312000,-35.5350000,-6.9370000,8.0600000,0.000000,0,0,0
1.120,-0.0018000,0.0126000,9.6744000,32.9437000,31.4102000,30.7236000,-35.2770000,-6.4680000,8.4420000,0.000000,0,0,0
1.130,-0.0042000,0.0138000,9.6732000,32.9056000,31.4026000,30.7236000,-35.3040000,-6.9620000,7.9460000,0.000000,0,0,0
1.140,-0.0042000,0.0126000,9.6720000,32.8674000,31.4026000,30.7236000,-35.2920000,-6.9150000,8.4580000,0.000000,0,0,0
1.150,-0.0042000,0.0102000,9.6732000,32.8369000,31.3950000,30.7236000,-35.4350000,-7.0290000,8.1330000,0.000000,0,0,0
1.160,-0.0018000,0.0078000,9.6744000,32.8293000,31.3873000,30.7236000,-35.4460000,-6.6730000,8.0810000,0.000000,0,0,0
