time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,baro,gps_lat,gps_lon,gps_alt
0.780,-0.1065000,-0.3033000,9.6529000,56.2744000,65.9180000,69.5267000,-39.9300000,-12.8060000,5.3300000,0.000000,0,0,0
0.790,-0.0909000,-0.2339000,9.6505000,57.0374000,65.6662000,71.0526000,-39.7980000,-13.2200000,5.5690000,0.000000,0,0,0
0.800,-0.0909000,-0.2339000,9.6505000,57.0374000,65.6662000,71.0526000,-39.7980000,-13.2200000,5.5690000,0.000000,0,0,0
0.810,-0.0873000,-0.1669000,9.6469000,57.5180000,65.2847000,72.0062000,-39.6030000,-13.1100000,5.4240000,0.000000,0,0,0
0.820,-0.0945000,-0.0975000,9.6397000,58.0215000,64.6820000,72.6776000,-39.5520000,-13.1670000,5.1300000,0.000000,0,0,0
0.830,-0.1125000,-0.0365000,9.6277000,58.7082000,63.7665000,72.8683000,-40.1290000,-13.2720000,5.2240000,0.000000,0,0,0
0.840,-0.1340000,0.0138000,9.6134000,59.6390000,62.5534000,72.5327000,-39.9060000,-13.1420000,5.0460000,0.000000,0,0,0
0.850,-0.1507000,0.0592000,9.6038000,60.7452000,61.2793000,71.8155000,-39.9470000,-13.2700000,5.0000000,0.000000,0,0,0
0.860,-0.1567000,0.0963000,9.6014000,61.7523000,60.2646000,70.9000000,-39.7210000,-12.8540000,4.8780000,0.000000,0,0,0
0.870,-0.1448000,0.1214000,9.6098000,62.2559000,59.8373000,70.0073000,-39.6700000,-13.3650000,4.8110000,0.000000,0,0,0
0.880,-0.1089000,0.1370000,9.6218000,61.9354000,60.1044000,69.1605000,-39.6780000,-13.3300000,4.4090000,0.000000,0,0,0
0.890,-0.0610000,0.1513000,9.6337000,60.7986000,61.0275000,68.3289000,-39.5960000,-13.0170000,4.6670000,0.000000,0,0,0
0.900,-0.0191000,0.1453000,9.6433000,59.1354000,62.2559000,67.5201000,-39.4840000,-12.9840000,4.6920000,0.000000,0,0,0
0.910,0.0024000,0.1107000,9.6505000,57.5485000,63.3774000,66.9098000,-39.7700000,-13.2130000,4.9020000,0.000000,0,0,0
0.920,0.0048000,0.0580000,9.6529000,56.5796000,64.1098000,66.6199000,-39.9620000,-13.1750000,4.3320000,0.000000,0,0,0
0.930,-0.0120000,-0.0006000,9.6505000,56.4499000,64.3311000,66.6199000,-39.8570000,-13.4740000,4.7490000,0.000000,0,0,0
0.940,-0.0347000,-0.0580000,9.6457000,57.1289000,64.1174000,66.7038000,-40.0160000,-13.3380000,4.9250000,0.000000,0,0,0
0.950,-0.0550000,-0.1095000,9.6421000,58.3038000,63.7131000,66.6351000,-39.7710000,-13.5380000,5.4590000,0.000000,0,0,0
0.960,-0.0730000,-0.1430000,9.6445000,59.5016000,63.4689000,66.3528000,-39.8040000,-13.1250000,5.0250000,0.000000,0,0,0
0.970,-0.0802000,-0.1489000,9.6469000,60.1807000,63.5910000,65.8493000,-40.0480000,-13.1120000,5.4860000,0.000000,0,0,0
0.980,-0.0825000,-0.1370000,9.6469000,60.1273000,64.0030000,65.2618000,-39.4810000,-13.1030000,5.0910000,0.000000,0,0,0
0.990,-0.0921000,-0.1166000,9.6433000,59.5627000,64.5142000,64.7812000,-39.8960000,-12.9300000,5.0920000,0.000000,0,0,0
1.000,-0.1041000,-0.0987000,9.6385000,58.9828000,64.8804000,64.5676000,-39.9010000,-13.0780000,5.7220000,0.000000,0,0,0
1.010,-0.1160000,-0.0807000,9.6325000,58.8303000,64.8575000,64.5752000,-40.0060000,-13.1050000,5.3110000,0.000000,0,0,0
1.020,-0.1220000,-0.0604000,9.6265000,59.2651000,64.3387000,64.6515000,-40.0570000,-13.1340000,4.8660000,0.000000,0,0,0
