time  , accel_x   , accel_y   , accel_z   , gyro_x    , gyro_y     , gyro_z      , mag_x      , mag_y      , mag_z     , baro    , gps_lat, gps_lon, gps_alt
 0.780, -0.0042000, 0.0054000 ,  9.6792000, 35.1791000, 34.7672000 , 34.3628000  , -39.6730000, -7.9960000 ,  8.4710000, 0.000000,       0,       0,       0
 0.790, -0.0042000, 0.0066000 ,  9.6792000, 35.1791000, 34.7595000 , 34.3704000  , -39.5850000, -7.4340000 ,  8.2320000, 0.000000,       0,       0,       0
 0.800, -0.0042000, 0.0066000 ,  9.6792000, 35.1791000, 34.7595000 , 34.3704000  , -39.5850000, -7.4340000 ,  8.2320000, 0.000000,       0,       0,       0
 0.810, -0.0042000, 0.0090000 ,  9.6792000, 35.1715000, 34.7595000 , 34.3704000  , -39.5450000, -7.5730000 ,  8.4160000, 0.000000,       0,       0,       0
 0.820, -0.0042000, 0.0102000 ,  9.6792000, 35.1715000, 34.7519000 , 34.3704000  , -39.4610000, -7.7620000 ,  8.3190000, 0.000000,       0,       0,       0
 0.830, -0.0042000, 0.0102000 ,  9.6792000, 35.1639000, 34.7443000 , 34.3628000  , -39.4990000, -8.0010000 ,  8.1400000, 0.000000,       0,       0,       0
 0.840, -0.0042000, 0.0078000 ,  9.6804000, 35.1639000, 34.7519000 , 34.3628000  , -39.6490000, -7.6790000 ,  8.3350000, 0.000000,       0,       0,       0
 0.850, -0.0030000, 0.0066000 ,  9.6804000, 35.1639000, 34.7519000 , 34.3628000  , -39.5490000, -7.7650000 ,  8.4530000, 0.000000,       0,       0,       0
 0.860, -0.0042000, 0.0054000 ,  9.6804000, 35.1639000, 34.7443000 , 34.3628000  , -39.5290000, -7.7300000 ,  7.8270000, 0.000000,       0,       0,       0
 0.870, -0.0042000, 0.0066000 ,  9.6792000, 35.1639000, 34.7366000 , 34.3704000  , -39.6040000, -7.8330000 ,  8.1580000, 0.000000,       0,       0,       0
 0.880, -0.0042000, 0.0078000 ,  9.6792000, 35.1715000, 34.7290000 , 34.3704000  , -39.7750000, -7.8340000 ,  8.6920000, 0.000000,       0,       0,       0
 0.890, -0.0030000, 0.0078000 ,  9.6780000, 35.1715000, 34.7290000 , 34.3628000  , -39.6810000, -7.9760000 ,  8.3590000, 0.000000,       0,       0,       0
 0.900, -0.0030000, 0.0066000 ,  9.6768000, 35.1639000, 34.7366000 , 34.3628000  , -39.7450000, -7.5090000 ,  8.2660000, 0.000000,       0,       0,       0
 0.910, -0.0030000, 0.0078000 ,  9.6768000, 35.1639000, 34.7443000 , 34.3628000  , -39.8880000, -7.6310000 ,  8.7110000, 0.000000,       0,       0,       0
 0.920, -0.0054000, 0.0078000 ,  9.6756000, 35.1639000, 34.7672000 , 34.3628000  , -39.9030000, -8.0180000 ,  8.6910000, 0.000000,       0,       0,       0
