time  , accel_x   , accel_y    , accel_z    , gyro_x      , gyro_y     , gyro_z     , mag_x      , mag_y      , mag_z      , baro    , gps_lat, gps_lon, gps_alt
51.960, -0.0885000, -0.2949000 , 9.4674000  , 60.6766000  , 66.9174000 , 67.1997000 , -41.1220000, -11.0370000, 6.5590000  , 0.000000,       0,       0,       0
 0.780, 0.1549000 , 0.6448000  , 9.5153000  , 59.6542000  , 61.1191000 , 59.9594000 , -39.5540000, -11.1750000, 6.4270000  , 0.000000,       0,       0,       0
 0.790, 0.1525000 , 0.6615000  , 9.5404000  , 60.0967000  , 61.6455000 , 61.0046000 , -39.7940000, -10.5820000, 6.6140000  , 0.000000,       0,       0,       0
 0.800, 0.1525000 , 0.6615000  , 9.5404000  , 60.0967000  , 61.6455000 , 61.0046000 , -39.7940000, -10.5820000, 6.6140000  , 0.000000,       0,       0,       0
 0.810, 0.1501000 , 0.6448000  , 9.5715000  , 60.2493000  , 62.3856000 , 62.3169000 , -39.7410000, -11.2340000, 7.2980000  , 0.000000,       0,       0,       0
 0.820, 0.1525000 , 0.5850000  , 9.6146000  , 59.8755000  , 63.2477000 , 63.3698000 , -39.6110000, -11.0740000, 6.5950000  , 0.000000,       0,       0,       0
 0.830, 0.1549000 , 0.4857000  , 9.6576000  , 59.0668000  , 63.9648000 , 63.7283000 , -39.5310000, -11.1240000, 7.0840000  , 0.000000,       0,       0,       0
 0.840, 0.1477000 , 0.3697000  , 9.6864000  , 58.2047000  , 64.3158000 , 63.3316000 , -39.5180000, -11.2250000, 7.2450000  , 0.000000,       0,       0,       0
 0.850, 0.1322000 , 0.2692000  , 9.6971000  , 57.6706000  , 64.1785000 , 62.4237000 , -39.7600000, -10.9860000, 7.6120000  , 0.000000,       0,       0,       0
 0.860, 0.1119000 , 0.1998000  , 9.6899000  , 57.6630000  , 63.7131000 , 61.4090000 , -39.5660000, -11.0080000, 7.1760000  , 0.000000,       0,       0,       0
 0.870, 0.0927000 , 0.1687000  , 9.6684000  , 58.2504000  , 63.1943000 , 60.6003000 , -39.8810000, -11.0350000, 6.8060000  , 0.000000,       0,       0,       0
 0.880, 0.0796000 , 0.1771000  , 9.6541000  , 59.3338000  , 62.7289000 , 60.1578000 , -39.5630000, -11.4220000, 6.8770000  , 0.000000,       0,       0,       0
 0.890, 0.0676000 , 0.2177000  , 9.6552000  , 60.5927000  , 62.3093000 , 60.1196000 , -39.4070000, -11.1210000, 6.9010000  , 0.000000,       0,       0,       0
 0.900, 0.0568000 , 0.2728000  , 9.6660000  , 61.5463000  , 61.9659000 , 60.4248000 , -39.3890000, -11.0590000, 7.2820000  , 0.000000,       0,       0,       0
