time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,baro,gps_lat,gps_lon,gps_alt
0.793,0.0179000,0.0138000,9.6672000,57.4875000,57.9834000,58.8913000,-41.2590000,-13.4050000,4.1860000,101224.630000,0,0,0
0.803,0.0096000,0.0114000,9.6552000,57.4493000,57.9987000,58.7845000,-41.1240000,-13.1900000,4.1420000,101224.630000,0,0,0
0.813,0.0012000,0.0090000,9.6493000,57.4112000,57.8232000,58.7540000,-40.9240000,-13.2190000,4.2980000,101219.310000,0,0,0
0.823,-0.0048000,0.0102000,9.6505000,57.3883000,57.5943000,58.7845000,-40.8580000,-13.0890000,4.2970000,101219.310000,0,0,0
0.833,-0.0036000,0.0114000,9.6576000,57.3654000,57.4341000,58.8760000,-40.6890000,-13.1980000,4.0970000,101223.100000,0,0,0
0.843,0.0000000,0.0114000,9.6624000,57.3502000,57.4036000,58.9905000,-41.1940000,-13.1090000,3.7840000,101223.100000,0,0,0
0.853,0.0048000,0.0102000,9.6660000,57.3349000,57.4799000,59.0973000,-40.6020000,-12.9880000,3.9480000,101218.850000,0,0,0
0.863,0.0084000,0.0102000,9.6684000,57.3349000,57.6401000,59.1736000,-40.8170000,-13.1560000,4.5650000,101218.850000,0,0,0
0.873,0.0096000,0.0102000,9.6684000,57.3425000,57.7774000,59.2117000,-41.0200000,-12.9560000,4.0610000,101221.050000,0,0,0
0.883,0.0084000,0.0126000,9.6648000,57.3578000,57.8461000,59.2117000,-40.8630000,-13.0940000,4.8080000,101221.050000,0,0,0
0.893,0.0072000,0.0150000,9.6612000,57.3730000,57.8308000,59.1812000,-40.9210000,-13.2090000,4.3980000,101223.220000,0,0,0
0.903,0.0084000,0.0173000,9.6624000,57.3883000,57.7850000,59.1431000,-40.7840000,-13.3080000,4.5830000,101223.220000,0,0,0
0.913,0.0084000,0.0197000,9.6624000,57.3959000,57.7621000,59.1431000,-41.0370000,-13.3470000,4.2650000,101221.250000,0,0,0
0.923,0.0072000,0.0197000,9.6612000,57.4036000,57.7621000,59.0820000,-40.7820000,-13.2640000,4.0790000,101221.250000,0,0,0
0.933,0.0060000,0.0161000,9.6600000,57.4036000,57.7545000,59.0744000,-40.9580000,-13.2820000,3.9850000,101223.220000,0,0,0
0.943,0.0060000,0.0138000,9.6612000,57.3959000,57.7545000,59.0744000,-40.6550000,-13.3950000,4.6080000,101223.220000,0,0,0
0.953,0.0060000,0.0102000,9.6624000,57.3883000,57.7774000,59.0820000,-41.1760000,-13.0340000,4.3680000,101224.590000,0,0,0
0.963,0.0060000,0.0090000,9.6612000,57.3883000,57.7774000,59.0820000,-41.0280000,-13.1160000,4.4000000,101224.590000,0,0,0
0.973,0.0072000,0.0078000,9.6600000,57.3959000,57.7316000,59.0820000,-40.8790000,-13.4620000,4.3650000,101227.050000,0,0,0
0.983,0.0084000,0.0078000,9.6600000,57.4036000,57.6782000,59.0897000,-40.7310000,-13.2410000,4.3160000,101227.050000,0,0,0
0.993,0.0108000,0.0078000,9.6624000,57.3959000,57.6553000,59.0897000,-40.8490000,-13.2590000,4.3610000,101219.360000,0,0,0
1.003,0.0108000,0.0090000,9.6636000,57.3883000,57.6553000,59.0897000,-40.8150000,-13.2750000,4.4040000,101219.360000,0,0,0
1.013,0.0096000,0.0090000,9.6624000,57.3807000,57.6706000,59.0897000,-41.1420000,-13.2090000,4.0750000,101224.640000,0,0,0
1.023,0.0084000,0.0114000,9.6612000,57.3730000,57.7011000,59.0973000,-41.0070000,-13.5180000,4.1810000,101224.640000,0,0,0
1.033,0.0084000,0.0126000,9.6612000,57.3730000,57.7316000,59.1049000,-40.9680000,-13.5150000,4.9580000,101222.380000,0,0,0
1.043,0.0096000,0.0126000,9.6612000,57.3654000,57.7621000,59.1125000,-40.9730000,-13.5700000,4.3290000,101222.380000,0,0,0
1.053,0.0108000,0.0138000,9.6600000,57.3730000,57.7621000,59.1202000,-41.1700000,-13.3010000,4.3450000,101222.670000,0,0,0
1.063,0.0120000,0.0126000,9.6600000,57.3807000,57.7469000,59.1125000,-41.0350000,-13.2960000,4.8070000,101222.670000,0,0,0
1.073,0.0120000,0.0114000,9.6600000,57.3883000,57.7164000,59.1049000,-40.9690000,-13.2720000,4.3570000,101225.470000,0,0,0
1.083,0.0120000,0.0114000,9.6612000,57.3959000,57.6859000,59.0973000,-41.0480000,-13.2790000,4.7420000,101225.470000,0,0,0
1.093,0.0132000,0.0126000,9.6636000,57.3883000,57.6859000,59.0897000,-41.3550000,-13.0860000,4.5530000,101221.420000,0,0,0
1.103,0.0144000,0.0126000,9.6648000,57.3883000,57.7393000,59.0897000,-41.2570000,-13.1220000,4.7340000,101221.420000,0,0,0
1.113,0.0144000,0.0150000,9.6648000,57.3883000,57.8232000,59.0897000,-41.0640000,-13.3600000,4.5910000,101219.340000,0,0,0
1.123,0.0132000,0.0138000,9.6648000,57.3883000,57.8995000,59.0897000,-40.8120000,-13.3230000,4.7410000,101219.340000,0,0,0
1.133,0.0132000,0.0126000,9.6636000,57.3883000,57.9300000,59.0820000,-40.8350000,-13.1160000,4.4680000,101221.460000,0,0,0
1.143,0.0120000,0.0114000,9.6624000,57.3883000,57.9071000,59.0744000,-41.2200000,-13.2730000,4.5110000,101221.460000,0,0,0
1.153,0.0120000,0.0114000,9.6624000,57.3959000,57.8232000,59.0744000,-41.0760000,-13.2790000,4.3530000,101223.860000,0,0,0
1.163,0.0120000,0.0126000,9.6636000,57.3959000,57.7469000,59.0668000,-40.9270000,-13.1650000,4.3120000,101223.860000,0,0,0
1.173,0.0132000,0.0150000,9.6624000,57.3959000,57.6706000,59.0668000,-40.7350000,-13.4890000,4.4790000,101221.780000,0,0,0
1.183,0.0120000,0.0161000,9.6612000,57.3883000,57.6553000,59.0744000,-40.9880000,-13.2620000,4.7090000,101221.780000,0,0,0
1.193,0.0096000,0.0150000,9.6600000,57.3730000,57.5943000,59.0820000,-40.6610000,-12.9840000,4.2760000,101222.200000,0,0,0
