time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,baro,gps_lat,gps_lon,gps_alt
1.020,0.0048000,-0.0018000,9.6541000,62.7594000,62.7136000,61.5005000,-37.1220000,-9.1590000,8.5450000,0.000000,0,0,0
1.030,0.0024000,-0.0018000,9.6529000,62.7518000,62.7441000,61.4929000,-37.0400000,-9.0130000,8.3500000,0.000000,0,0,0
1.040,0.0012000,-0.0030000,9.6529000,62.7441000,62.7594000,61.4929000,-37.2960000,-8.9110000,7.2450000,0.000000,0,0,0
1.050,0.0012000,-0.0018000,9.6529000,62.7441000,62.7518000,61.4929000,-37.3420000,-8.6920000,6.8880000,0.000000,0,0,0
1.060,0.0012000,-0.0006000,9.6529000,62.7518000,62.7289000,61.4853000,-37.2470000,-8.6170000,7.8630000,0.000000,0,0,0
1.070,0.0000000,-0.0006000,9.6529000,62.7518000,62.6907000,61.4853000,-37.4450000,-8.7950000,7.7550000,0.000000,0,0,0
1.080,0.0000000,-0.0006000,9.6529000,62.7518000,62.6526000,61.4929000,-37.4050000,-8.5320000,8.1950000,0.000000,0,0,0
1.090,0.0012000,-0.0006000,9.6517000,62.7594000,62.6221000,61.4929000,-37.4820000,-9.0260000,8.1730000,0.000000,0,0,0
1.100,0.0024000,-0.0018000,9.6505000,62.7594000,62.6144000,61.4929000,-37.7540000,-8.9610000,7.9420000,0.000000,0,0,0
1.110,0.0024000,-0.0042000,9.6517000,62.7518000,62.6221000,61.4929000,-37.2780000,-8.9220000,8.0790000,0.000000,0,0,0
1.120,0.0012000,-0.0054000,9.6517000,62.7441000,62.6373000,61.4929000,-37.1440000,-8.8880000,8.4640000,0.000000,0,0,0
1.130,0.0000000,-0.0078000,9.6529000,62.7365000,62.6602000,61.4929000,-37.3420000,-8.8420000,8.4220000,0.000000,0,0,0
1.140,0.0000000,-0.0078000,9.6529000,62.7365000,62.6678000,61.5005000,-37.1770000,-8.9770000,8.2990000,0.000000,0,0,0
1.150,0.0000000,-0.0042000,9.6517000,62.7441000,62.6755000,61.5005000,-37.1460000,-8.4220000,8.2540000,0.000000,0,0,0
1.160,0.0000000,-0.0030000,9.6529000,62.7518000,62.6755000,61.5005000,-37.0940000,-8.9170000,8.1130000,0.000000,0,0,0
1.170,0.0012000,0.0006000,9.6529000,62.7594000,62.6907000,61.5005000,-37.3410000,-8.6470000,8.3610000,0.000000,0,0,0
1.180,0.0012000,0.0030000,9.6529000,62.7594000,62.7060000,61.5005000,-37.0510000,-8.8160000,8.2990000,0.000000,0,0,0
1.190,0.0012000,0.0042000,9.6517000,62.7518000,62.7289000,61.5005000,-37.0290000,-8.6640000,7.9860000,0.000000,0,0,0
1.200,0.0000000,0.0030000,9.6505000,62.7441000,62.7518000,61.5005000,-37.3100000,-8.9750000,8.8780000,0.000000,0,0,0
1.210,0.0000000,0.0006000,9.6505000,62.7289000,62.7594000,61.5005000,-37.0600000,-8.8680000,8.2140000,0.000000,0,0,0
1.220,0.0000000,-0.0006000,9.6505000,62.7289000,62.7518000,61.5005000,-36.9560000,-8.9430000,8.5780000,0.000000,0,0,0
1.230,0.0000000,-0.0030000,9.6505000,62.7365000,62.7213000,61.4929000,-37.0480000,-8.8050000,8.4790000,0.000000,0,0,0
1.240,0.0012000,-0.0030000,9.6505000,62.7441000,62.6984000,61.5005000,-37.2260000,-9.1430000,7.9850000,0.000000,0,0,0
1.250,0.0024000,-0.0018000,9.6529000,62.7518000,62.6831000,61.5005000,-37.2200000,-9.2300000,8.7160000,0.000000,0,0,0
1.260,0.0024000,-0.0018000,9.6541000,62.7518000,62.6831000,61.5082000,-36.9820000,-8.9260000,8.7260000,0.000000,0,0,0
1.270,0.0024000,-0.0018000,9.6552000,62.7518000,62.6907000,61.5082000,-37.1710000,-8.7640000,8.5280000,0.000000,0,0,0
1.280,0.0024000,-0.0018000,9.6552000,62.7441000,62.7060000,61.5005000,-37.2160000,-8.7950000,7.4470000,0.000000,0,0,0
1.290,0.0036000,-0.0018000,9.6541000,62.7441000,62.7136000,61.5005000,-37.0680000,-8.8550000,7.4120000,0.000000,0,0,0
1.300,0.0048000,-0.0006000,9.6529000,62.7365000,62.7289000,61.4929000,-37.0140000,-9.2170000,7.1640000,0.000000,0,0,0
1.310,0.0048000,-0.0006000,9.6517000,62.7289000,62.7365000,61.4929000,-37.3570000,-9.2670000,7.6770000,0.000000,0,0,0
1.320,0.0036000,-0.0006000,9.6505000,62.7365000,62.7365000,61.4853000,-36.9090000,-9.0530000,7.7170000,0.000000,0,0,0
