time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,baro,gps_lat,gps_lon,gps_alt
0.780,-0.2763000,0.1148000,9.5583000,58.5938000,55.7632000,61.6608000,-40.4690000,-10.9120000,6.7660000,0.000000,0,0,0
0.790,-0.2763000,0.1148000,9.5583000,58.5938000,55.7632000,61.6608000,-40.4690000,-10.9120000,6.7660000,0.000000,0,0,0
0.800,-0.2955000,0.0754000,9.5536000,57.7011000,55.4123000,61.1496000,-40.2320000,-10.8320000,6.6120000,0.000000,0,0,0
0.810,-0.3063000,0.0167000,9.5560000,56.8619000,54.8935000,60.8597000,-40.4970000,-10.8400000,5.9080000,0.000000,0,0,0
0.820,-0.3098000,-0.0502000,9.5667000,56.5109000,54.1840000,60.6995000,-40.0420000,-10.8580000,6.5200000,0.000000,0,0,0
0.830,-0.3015000,-0.1172000,9.5763000,56.6483000,53.2913000,60.6003000,-40.2990000,-10.5040000,5.8200000,0.000000,0,0,0
0.840,-0.2823000,-0.1687000,9.5847000,56.9611000,52.3300000,60.5774000,-40.3800000,-10.7800000,6.4190000,0.000000,0,0,0
0.850,-0.2476000,-0.1998000,9.6002000,57.3807000,51.5213000,60.6155000,-40.6310000,-10.7730000,6.4730000,0.000000,0,0,0
0.860,-0.1974000,-0.2153000,9.6218000,57.7774000,51.1017000,60.7605000,-40.3870000,-10.5620000,5.7980000,0.000000,0,0,0
0.870,-0.1412000,-0.2225000,9.6445000,57.8995000,51.2695000,61.0733000,-40.0470000,-10.9850000,5.7380000,0.000000,0,0,0
0.880,-0.0897000,-0.2261000,9.6576000,57.8079000,51.8875000,61.4243000,-40.4930000,-10.5620000,5.8750000,0.000000,0,0,0
0.890,-0.0634000,-0.2165000,9.6576000,57.6477000,52.6047000,61.6608000,-40.1930000,-10.7570000,5.4160000,0.000000,0,0,0
0.900,-0.0658000,-0.1890000,9.6469000,57.5562000,53.1006000,61.6989000,-39.9510000,-10.9810000,6.3410000,0.000000,0,0,0
0.910,-0.0921000,-0.1424000,9.6301000,57.6859000,53.2074000,61.5005000,-40.3270000,-10.3590000,5.7660000,0.000000,0,0,0
0.920,-0.1268000,-0.0802000,9.6098000,57.9453000,52.9785000,61.1572000,-40.0970000,-10.4750000,5.2110000,0.000000,0,0,0
0.930,-0.1579000,-0.0215000,9.5895000,58.2047000,52.4979000,60.7758000,-40.4340000,-10.5470000,5.4580000,0.000000,0,0,0
0.940,-0.1771000,0.0144000,9.5823000,58.4030000,51.9485000,60.3561000,-40.5190000,-10.5310000,5.5970000,0.000000,0,0,0
0.950,-0.1818000,0.0227000,9.5847000,58.4793000,51.5976000,59.8297000,-40.3010000,-10.6780000,6.1680000,0.000000,0,0,0
0.960,-0.1818000,0.0108000,9.5930000,58.3649000,51.6205000,59.2194000,-40.3860000,-10.6280000,5.5190000,0.000000,0,0,0
0.970,-0.1806000,-0.0526000,9.6038000,57.8156000,52.2537000,58.7158000,-40.1290000,-10.5630000,5.3970000,0.000000,0,0,0
0.980,-0.1675000,-0.1125000,9.6134000,57.3883000,52.6962000,58.7769000,-40.3220000,-10.3910000,5.7300000,0.000000,0,0,0
0.990,-0.1436000,-0.1663000,9.6229000,57.1518000,52.9785000,58.9905000,-40.4930000,-10.6780000,5.7750000,0.000000,0,0,0
1.000,-0.1160000,-0.1986000,9.6289000,57.2281000,53.0014000,59.1660000,-40.3220000,-10.5930000,5.5140000,0.000000,0,0,0
1.010,-0.1005000,-0.1890000,9.6277000,57.5180000,52.8336000,59.2422000,-40.4960000,-10.8240000,5.3900000,0.000000,0,0,0
1.020,-0.1017000,-0.1519000,9.6182000,57.8537000,52.5131000,59.3338000,-40.3430000,-10.5260000,5.6810000,0.000000,0,0,0
1.030,-0.1184000,-0.1125000,9.6074000,58.0673000,52.1469000,59.5169000,-40.5480000,-10.6390000,5.3520000,0.000000,0,0,0
1.040,-0.1495000,-0.0825000,9.5978000,58.1589000,51.7731000,59.7534000,-40.6620000,-10.8400000,5.3490000,0.000000,0,0,0
1.050,-0.1854000,-0.0802000,9.5942000,58.1512000,51.4374000,59.9899000,-40.4630000,-10.6480000,5.2070000,0.000000,0,0,0
1.060,-0.2082000,-0.1017000,9.5954000,57.9987000,51.2924000,60.2646000,-40.3210000,-10.5700000,5.4240000,0.000000,0,0,0
1.070,-0.2082000,-0.1256000,9.6002000,57.7621000,51.3458000,60.5164000,-40.8730000,-10.9740000,5.7950000,0.000000,0,0,0
1.080,-0.1854000,-0.1364000,9.6062000,57.5485000,51.5747000,60.7071000,-40.4280000,-10.6470000,6.3020000,0.000000,0,0,0
1.090,-0.1483000,-0.1316000,9.6134000,57.3883000,51.9485000,60.8673000,-40.5360000,-10.7060000,6.3370000,0.000000,0,0,0
1.100,-0.1125000,-0.1208000,9.6194000,57.2968000,52.4292000,61.0275000,-40.1790000,-10.7210000,6.4890000,0.000000,0,0,0
1.110,-0.0873000,-0.1113000,9.6241000,57.3044000,52.8412000,61.1649000,-40.4740000,-10.6580000,6.0750000,0.000000,0,0,0
1.120,-0.0766000,-0.1101000,9.6253000,57.4570000,53.0853000,61.1801000,-40.4480000,-11.0770000,5.5380000,0.000000,0,0,0
1.130,-0.0813000,-0.1065000,9.6218000,57.7164000,53.1540000,60.9894000,-40.4650000,-10.6990000,5.3650000,0.000000,0,0,0
1.140,-0.0981000,-0.0945000,9.6158000,57.9071000,53.1540000,60.7071000,-40.4180000,-10.3440000,5.5640000,0.000000,0,0,0
1.150,-0.1268000,-0.0825000,9.6110000,57.8995000,53.2150000,60.5469000,-40.5610000,-10.5870000,5.1840000,0.000000,0,0,0
1.160,-0.1543000,-0.0849000,9.6062000,57.7316000,53.3371000,60.6232000,-40.4600000,-10.2190000,6.2190000,0.000000,0,0,0
1.170,-0.1735000,-0.0993000,9.6014000,57.4417000,53.4668000,60.8521000,-40.3990000,-10.6340000,5.7940000,0.000000,0,0,0
1.180,-0.1842000,-0.1101000,9.5990000,57.1365000,53.5202000,61.0962000,-40.4490000,-10.4540000,5.8500000,0.000000,0,0,0
1.190,-0.1842000,-0.1077000,9.6014000,56.9153000,53.5278000,61.2564000,-40.7040000,-10.8110000,6.7110000,0.000000,0,0,0
1.200,-0.1782000,-0.0945000,9.6026000,56.8085000,53.5126000,61.2793000,-40.6860000,-10.7150000,6.7900000,0.000000,0,0,0
1.210,-0.1699000,-0.0718000,9.6002000,56.7932000,53.3905000,61.1267000,-40.7800000,-10.7860000,6.8060000,0.000000,0,0,0
1.220,-0.1639000,-0.0467000,9.5954000,56.8390000,53.1387000,60.8444000,-40.7780000,-10.9210000,6.0550000,0.000000,0,0,0
1.230,-0.1615000,-0.0275000,9.5930000,56.9534000,52.7725000,60.4401000,-40.4930000,-10.9360000,6.6760000,0.000000,0,0,0
1.240,-0.1543000,-0.0191000,9.5966000,57.0908000,52.4521000,59.9670000,-40.6060000,-10.7040000,7.2180000,0.000000,0,0,0
1.250,-0.1519000,-0.0263000,9.6002000,57.0984000,52.3834000,59.5703000,-40.1240000,-10.8760000,6.2610000,0.000000,0,0,0
1.260,-0.1424000,-0.0490000,9.6062000,56.9992000,52.5436000,59.2651000,-40.3030000,-10.8240000,5.9370000,0.000000,0,0,0
1.270,-0.1244000,-0.0837000,9.6110000,56.8695000,52.8259000,59.0897000,-40.6380000,-10.8020000,6.1690000,0.000000,0,0,0
1.280,-0.1053000,-0.1232000,9.6170000,56.7703000,53.0624000,59.0363000,-40.5980000,-11.1000000,5.4460000,0.000000,0,0,0
