time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,baro,gps_lat,gps_lon,gps_alt
0.780,-0.1465000,-0.0963000,9.6241000,36.7203000,26.7410000,36.4609000,-40.3520000,-12.2150000,5.8020000,0.000000,0,0,0
0.790,-0.1465000,-0.0963000,9.6241000,36.7203000,26.7410000,36.4609000,-40.3520000,-12.2150000,5.8020000,0.000000,0,0,0
0.800,-0.1382000,-0.1083000,9.6170000,36.3770000,26.8021000,36.8500000,-40.3130000,-12.3640000,5.2600000,0.000000,0,0,0
0.810,-0.1250000,-0.0987000,9.6110000,36.4380000,26.4969000,36.7126000,-40.4520000,-12.0930000,4.7910000,0.000000,0,0,0
0.820,-0.1107000,-0.0676000,9.6074000,36.6058000,26.0620000,36.3388000,-40.3780000,-12.1920000,5.3780000,0.000000,0,0,0
0.830,-0.0915000,-0.0293000,9.6098000,36.6974000,25.7568000,35.8505000,-40.4630000,-12.1180000,4.6050000,0.000000,0,0,0
0.840,-0.0676000,0.0018000,9.6098000,36.6135000,25.6805000,35.3317000,-40.3390000,-12.0160000,5.8500000,0.000000,0,0,0
0.850,-0.0484000,0.0102000,9.6086000,36.3388000,25.8102000,34.8358000,-40.5580000,-12.3660000,5.3850000,0.000000,0,0,0
0.860,-0.0401000,-0.0006000,9.6110000,35.9802000,26.1078000,34.4086000,-40.5060000,-12.2710000,5.0470000,0.000000,0,0,0
0.870,-0.0449000,-0.0269000,9.6146000,35.6674000,26.5045000,34.1034000,-40.3170000,-11.9730000,5.4330000,0.000000,0,0,0
0.880,-0.0580000,-0.0640000,9.6206000,35.5225000,26.9394000,33.8974000,-40.3540000,-12.1100000,5.0710000,0.000000,0,0,0
0.890,-0.0724000,-0.0939000,9.6229000,35.5225000,27.3438000,33.7067000,-40.3190000,-12.0890000,5.0930000,0.000000,0,0,0
0.900,-0.0796000,-0.0987000,9.6218000,35.6064000,27.6794000,33.4549000,-40.4170000,-12.2600000,5.2860000,0.000000,0,0,0
0.910,-0.0831000,-0.0819000,9.6194000,35.6979000,27.8931000,33.1955000,-40.5840000,-12.0600000,4.6570000,0.000000,0,0,0
0.920,-0.0760000,-0.0544000,9.6146000,35.7666000,27.9541000,33.0200000,-40.7470000,-12.1600000,5.0970000,0.000000,0,0,0
0.930,-0.0592000,-0.0317000,9.6062000,35.8505000,27.8244000,32.8827000,-40.4960000,-12.4470000,5.3550000,0.000000,0,0,0
0.940,-0.0389000,-0.0161000,9.6014000,35.9726000,27.5192000,32.7148000,-40.4010000,-12.0050000,4.6930000,0.000000,0,0,0
