time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,baro,gps_lat,gps_lon,gps_alt
1.417,0.0012000,-0.0012000,9.7969000,0.0229000,0.0076000,0.0000000,-29.1160000,19.2370000,16.8330000,101288.570000,0,0,0
1.427,0.0000000,-0.0024000,9.7957000,0.0229000,0.0076000,0.0076000,-29.4310000,19.3880000,16.8950000,101288.570000,0,0,0
1.437,0.0012000,-0.0024000,9.7957000,0.0229000,0.0076000,0.0153000,-29.2730000,19.2170000,16.4030000,101288.570000,0,0,0
1.447,0.0012000,-0.0012000,9.7957000,0.0229000,0.0000000,0.0229000,-29.4950000,19.3610000,16.4900000,101288.570000,0,0,0
1.457,0.0012000,0.0000000,9.7957000,0.0153000,-0.0076000,0.0153000,-29.5090000,19.4780000,16.4500000,101281.660000,0,0,0
1.467,0.0012000,-0.0012000,9.7957000,0.0153000,-0.0153000,0.0076000,-29.3410000,19.3770000,15.7650000,101281.660000,0,0,0
1.477,0.0012000,-0.0012000,9.7957000,0.0153000,-0.0153000,0.0076000,-29.3490000,19.1760000,16.0720000,101286.030000,0,0,0
1.487,0.0000000,-0.0012000,9.7957000,0.0076000,-0.0076000,0.0000000,-29.5920000,19.4710000,16.4060000,101286.030000,0,0,0
1.497,0.0000000,-0.0012000,9.7969000,0.0076000,-0.0076000,0.0000000,-29.3510000,19.4620000,15.9280000,101286.500000,0,0,0
1.507,-0.0012000,0.0000000,9.7981000,0.0153000,0.0000000,0.0000000,-29.5500000,19.3270000,16.4540000,101286.500000,0,0,0
1.517,-0.0012000,0.0012000,9.7969000,0.0153000,0.0000000,0.0076000,-29.5910000,19.0990000,16.3530000,101282.080000,0,0,0
1.527,-0.0012000,0.0000000,9.7957000,0.0153000,0.0000000,0.0153000,-29.1480000,19.2850000,16.1280000,101282.080000,0,0,0
1.537,0.0000000,0.0012000,9.7957000,0.0153000,0.0000000,0.0229000,-29.2710000,18.9800000,16.2420000,101286.340000,0,0,0
1.547,0.0000000,0.0000000,9.7969000,0.0229000,0.0000000,0.0229000,-29.8660000,19.4640000,16.4750000,101286.340000,0,0,0
1.557,0.0000000,0.0000000,9.7981000,0.0229000,0.0000000,0.0153000,-29.6420000,19.0830000,15.9710000,101279.970000,0,0,0
1.567,0.0000000,0.0000000,9.7993000,0.0153000,0.0000000,0.0229000,-29.3040000,19.3280000,16.4460000,101279.970000,0,0,0
1.577,0.0012000,0.0000000,9.8005000,0.0153000,-0.0076000,0.0229000,-29.7540000,19.1650000,15.7000000,101284.620000,0,0,0
1.587,0.0024000,0.0000000,9.8005000,0.0076000,0.0000000,0.0153000,-29.6480000,19.2950000,16.5340000,101284.620000,0,0,0
1.597,0.0024000,-0.0012000,9.7993000,0.0076000,0.0000000,0.0153000,-29.7330000,19.0910000,16.3380000,101285.760000,0,0,0
1.607,0.0012000,-0.0012000,9.7969000,0.0076000,0.0000000,0.0076000,-29.8270000,19.2870000,16.2960000,101285.760000,0,0,0
1.617,0.0000000,-0.0012000,9.7969000,0.0000000,0.0000000,0.0076000,-29.4100000,19.2440000,16.4040000,101286.230000,0,0,0
1.627,0.0012000,0.0000000,9.7957000,0.0076000,0.0000000,0.0000000,-29.3760000,19.3780000,15.9910000,101286.230000,0,0,0
1.637,0.0024000,-0.0012000,9.7945000,0.0076000,0.0000000,0.0000000,-29.3420000,19.0730000,16.1460000,101284.050000,0,0,0
1.647,0.0036000,-0.0012000,9.7945000,0.0076000,0.0000000,0.0076000,-29.3110000,19.3000000,16.6440000,101284.050000,0,0,0
1.657,0.0036000,-0.0012000,9.7957000,0.0076000,0.0000000,0.0076000,-29.5090000,19.1680000,16.3210000,101284.540000,0,0,0
1.667,0.0024000,-0.0012000,9.7957000,0.0076000,0.0000000,0.0076000,-29.6890000,19.0580000,16.1830000,101284.540000,0,0,0
1.677,0.0012000,0.0000000,9.7957000,0.0076000,0.0076000,0.0153000,-29.6340000,18.9480000,16.6820000,101280.120000,0,0,0
1.687,0.0024000,-0.0012000,9.7957000,0.0000000,0.0153000,0.0076000,-29.0870000,19.2210000,16.5590000,101280.120000,0,0,0
1.697,0.0024000,0.0000000,9.7957000,0.0000000,0.0153000,0.0000000,-29.3830000,19.1980000,16.5150000,101279.890000,0,0,0
1.707,0.0024000,0.0012000,9.7969000,0.0000000,0.0153000,0.0000000,-29.5740000,19.3690000,17.3610000,101279.890000,0,0,0
1.717,0.0024000,0.0024000,9.7969000,0.0000000,0.0153000,0.0076000,-28.8930000,19.2870000,17.0970000,101286.180000,0,0,0
1.727,0.0024000,0.0012000,9.7981000,0.0000000,0.0153000,0.0076000,-29.2270000,19.0530000,16.8420000,101286.180000,0,0,0
1.737,0.0036000,0.0000000,9.7981000,-0.0076000,0.0153000,0.0153000,-29.0470000,19.0540000,16.9500000,101288.280000,0,0,0
1.747,0.0036000,-0.0024000,9.7969000,-0.0076000,0.0153000,0.0153000,-29.2610000,19.1620000,17.0190000,101288.280000,0,0,0
1.757,0.0024000,-0.0036000,9.7957000,0.0000000,0.0153000,0.0153000,-29.4850000,19.5940000,16.4770000,101281.570000,0,0,0
1.767,0.0024000,-0.0048000,9.7945000,0.0000000,0.0153000,0.0076000,-29.3120000,19.4430000,16.8320000,101281.570000,0,0,0
1.777,0.0036000,-0.0048000,9.7945000,0.0000000,0.0153000,-0.0076000,-29.1350000,19.1950000,16.7790000,101280.150000,0,0,0
1.787,0.0036000,-0.0036000,9.7945000,0.0000000,0.0153000,-0.0076000,-29.8790000,19.4570000,17.3030000,101280.150000,0,0,0
1.797,0.0048000,-0.0024000,9.7945000,0.0076000,0.0153000,-0.0153000,-29.4030000,19.1210000,17.1130000,101279.780000,0,0,0
1.807,0.0060000,-0.0012000,9.7945000,0.0076000,0.0153000,-0.0076000,-29.7490000,19.0250000,17.1870000,101279.780000,0,0,0
1.817,0.0048000,-0.0012000,9.7957000,0.0153000,0.0153000,-0.0076000,-29.3940000,19.2030000,17.0230000,101281.770000,0,0,0
1.827,0.0036000,-0.0024000,9.7981000,0.0153000,0.0076000,0.0000000,-29.7170000,19.3320000,17.2560000,101281.770000,0,0,0
1.837,0.0024000,-0.0024000,9.7993000,0.0153000,0.0076000,0.0076000,-29.3910000,19.6090000,16.5400000,101285.820000,0,0,0
1.847,0.0024000,-0.0012000,9.7993000,0.0076000,0.0076000,0.0076000,-29.3020000,19.4470000,16.5840000,101285.820000,0,0,0
1.857,0.0012000,0.0012000,9.7957000,0.0076000,0.0076000,0.0076000,-29.2860000,19.2090000,16.2430000,101285.670000,0,0,0
1.867,0.0000000,0.0024000,9.7945000,0.0076000,0.0076000,0.0000000,-29.4560000,19.1460000,16.4400000,101285.670000,0,0,0
1.877,-0.0012000,0.0024000,9.7945000,0.0076000,0.0076000,0.0000000,-29.4130000,19.2560000,16.8310000,101286.520000,0,0,0
1.887,-0.0024000,0.0024000,9.7945000,0.0076000,0.0076000,0.0000000,-29.4030000,19.1000000,16.3470000,101286.520000,0,0,0
1.897,-0.0024000,0.0012000,9.7957000,0.0153000,0.0076000,0.0076000,-29.0750000,19.1410000,16.2390000,101286.740000,0,0,0
1.907,-0.0012000,-0.0012000,9.7969000,0.0229000,0.0076000,0.0076000,-29.3410000,19.3780000,16.2970000,101286.740000,0,0,0
1.917,0.0012000,-0.0036000,9.7981000,0.0229000,0.0076000,0.0153000,-29.5280000,19.0370000,16.6270000,101284.050000,0,0,0
1.927,0.0024000,-0.0024000,9.8017000,0.0229000,0.0076000,0.0153000,-29.2900000,19.5020000,16.4660000,101284.050000,0,0,0
1.937,0.0024000,0.0012000,9.8053000,0.0153000,0.0076000,0.0229000,-29.4530000,19.2430000,16.4070000,101282.250000,0,0,0
1.947,-0.0012000,0.0036000,9.8041000,0.0076000,0.0076000,0.0229000,-29.6920000,19.1770000,16.8320000,101282.250000,0,0,0
1.957,-0.0036000,0.0024000,9.7993000,0.0000000,0.0076000,0.0153000,-29.3570000,19.3900000,16.2870000,101284.540000,0,0,0
1.967,-0.0036000,0.0000000,9.7969000,0.0076000,0.0076000,0.0153000,-29.5580000,19.1880000,16.5670000,101284.540000,0,0,0
1.977,-0.0036000,-0.0036000,9.7969000,0.0076000,0.0153000,0.0076000,-29.2960000,19.0400000,16.7370000,101286.300000,0,0,0
1.987,0.0000000,-0.0036000,9.7981000,0.0153000,0.0153000,0.0076000,-29.0540000,19.2330000,16.1480000,101286.300000,0,0,0
1.997,0.0036000,-0.0024000,9.7969000,0.0153000,0.0076000,0.0076000,-29.1230000,19.2100000,15.5760000,101285.550000,0,0,0
2.007,0.0048000,-0.0012000,9.7957000,0.0229000,0.0076000,0.0076000,-29.4750000,19.1130000,16.2710000,101285.550000,0,0,0
2.017,0.0048000,-0.0012000,9.7981000,0.0229000,0.0076000,0.0153000,-29.5970000,19.1120000,15.9360000,101281.900000,0,0,0
2.027,0.0036000,0.0000000,9.8005000,0.0153000,0.0076000,0.0229000,-29.5540000,19.4080000,16.3660000,101281.900000,0,0,0
2.037,0.0000000,0.0000000,9.7993000,0.0153000,0.0153000,0.0229000,-29.5290000,19.4980000,15.8950000,101279.950000,0,0,0
2.047,-0.0024000,0.0000000,9.7981000,0.0076000,0.0153000,0.0229000,-29.5310000,19.5400000,16.2380000,101279.950000,0,0,0
2.057,-0.0036000,0.0000000,9.7981000,0.0000000,0.0153000,0.0153000,-29.7460000,19.4200000,15.2600000,101286.520000,0,0,0
2.067,-0.0024000,-0.0012000,9.7993000,0.0000000,0.0153000,0.0076000,-29.1350000,19.7800000,16.0530000,101286.520000,0,0,0
2.077,0.0012000,0.0000000,9.7981000,0.0000000,0.0153000,0.0076000,-29.3650000,19.3180000,16.0640000,101284.270000,0,0,0
2.087,0.0048000,0.0012000,9.7969000,0.0000000,0.0076000,0.0076000,-29.1820000,19.5760000,16.8980000,101284.270000,0,0,0
2.097,0.0072000,0.0000000,9.7981000,0.0229000,0.0076000,0.0153000,-29.5850000,19.2990000,16.4060000,101280.200000,0,0,0
2.107,0.0060000,0.0000000,9.7981000,0.0153000,0.0076000,0.0076000,-29.5960000,19.4830000,16.4200000,101280.200000,0,0,0
