time  , accel_x   , accel_y   , accel_z  , gyro_x    , gyro_y     , gyro_z    , mag_x      , mag_y      , mag_z    , baro         , gps_lat, gps_lon, gps_alt
 0.790, -0.0126000, -0.0407000, 9.6672000, 28.9001000,  33.8669000, 37.0712000, -37.7380000, -13.2340000, 8.1040000, 101215.300000,       0,       0,       0
 0.800, -0.0006000, 0.0227000 , 9.6696000, 29.2587000,  33.4625000, 36.4304000, -37.5260000, -13.2010000, 7.4990000, 101215.300000,       0,       0,       0
 0.810, -0.0006000, 0.0514000 , 9.6696000, 29.4266000,  33.2413000, 35.9879000, -38.0130000, -12.9220000, 7.6390000, 101219.050000,       0,       0,       0
 0.820, -0.0066000, 0.0610000 , 9.6684000, 29.5181000,  33.0048000, 35.5988000, -37.6560000, -13.1600000, 7.6510000, 101219.050000,       0,       0,       0
 0.830, -0.0221000, 0.0419000 , 9.6684000, 29.5639000,  32.7072000, 35.3699000, -38.0270000, -12.6990000, 7.4360000, 101218.850000,       0,       0,       0
 0.840, -0.0437000, -0.0156000, 9.6696000, 29.6097000,  32.2952000, 35.3394000, -37.7090000, -12.9040000, 7.8290000, 101218.850000,       0,       0,       0
 0.850, -0.0520000, -0.1053000, 9.6708000, 29.8233000,  31.7841000, 35.3470000, -37.9540000, -13.0210000, 8.7320000, 101219.160000,       0,       0,       0
 0.860, -0.0305000, -0.1914000, 9.6696000, 30.4565000,  31.2347000, 35.0189000, -37.7950000, -12.9550000, 8.1700000, 101219.160000,       0,       0,       0
 0.870, 0.0197000 , -0.2273000, 9.6696000, 31.5399000,  30.7693000, 33.9203000, -38.1760000, -13.1150000, 8.0470000, 101220.460000,       0,       0,       0
 0.880, 0.0748000 , -0.1914000, 9.6732000, 32.7530000,  30.5939000, 32.0511000, -37.7930000, -12.9810000, 8.2740000, 101220.460000,       0,       0,       0
 0.890, 0.1083000 , -0.0969000, 9.6804000, 33.6380000,  30.8685000, 30.0217000, -38.3540000, -12.8480000, 8.1870000, 101218.530000,       0,       0,       0
 0.900, 0.0987000 , 0.0096000 , 9.6899000, 33.9127000,  31.4713000, 28.7247000, -37.6440000, -12.9540000, 7.5080000, 101218.530000,       0,       0,       0
 0.910, 0.0628000 , 0.0897000 , 9.6971000, 33.4549000,  32.2113000, 28.6789000, -38.2790000, -12.9030000, 7.7180000, 101220.930000,       0,       0,       0
 0.920, 0.0185000 , 0.1352000 , 9.6959000, 32.4631000,  32.8979000, 29.7165000, -38.0780000, -12.9020000, 8.1070000, 101220.930000,       0,       0,       0
 0.930, -0.0221000, 0.1495000 , 9.6864000, 31.2881000,  33.2413000, 31.2729000, -37.9620000, -12.5340000, 7.8590000, 101219.260000,       0,       0,       0
 0.940, -0.0520000, 0.1400000 , 9.6732000, 30.2505000,  33.1116000, 32.9056000, -37.8670000, -12.7530000, 7.7550000, 101219.260000,       0,       0,       0
 0.950, -0.0688000, 0.1029000 , 9.6636000, 29.4876000,  32.6080000, 34.4009000, -38.1540000, -12.9210000, 7.0380000, 101221.020000,       0,       0,       0
 0.960, -0.0664000, 0.0479000 , 9.6624000, 29.1290000,  31.8832000, 35.6140000, -37.7500000, -12.5290000, 7.2960000, 101221.020000,       0,       0,       0
 0.970, -0.0389000, -0.0072000, 9.6672000, 29.1672000,  31.1356000, 36.3235000, -37.8310000, -12.1780000, 7.6880000, 101222.250000,       0,       0,       0
 0.980, 0.0054000 , -0.0514000, 9.6744000, 29.4647000,  30.6015000, 36.3998000, -37.8400000, -12.5040000, 8.1670000, 101222.250000,       0,       0,       0
 0.990, 0.0484000 , -0.0742000, 9.6792000, 29.7928000,  30.3802000, 35.9650000, -38.2400000, -12.7340000, 7.5760000, 101218.380000,       0,       0,       0
 1.000, 0.0807000 , -0.0718000, 9.6828000, 29.9835000,  30.5405000, 35.3317000, -38.1400000, -12.8410000, 7.4800000, 101218.380000,       0,       0,       0
 1.010, 0.0939000 , -0.0455000, 9.6875000, 29.9454000,  31.0822000, 34.8740000, -37.9550000, -12.7560000, 7.4900000, 101220.840000,       0,       0,       0
 1.020, 0.0843000 , -0.0120000, 9.6911000, 29.5410000,  31.9519000, 34.7061000, -38.2220000, -12.6510000, 7.0980000, 101220.840000,       0,       0,       0
 1.030, 0.0712000 , 0.0024000 , 9.6887000, 28.8849000,  32.6614000, 34.8358000, -38.1550000, -12.8500000, 7.8960000, 101219.340000,       0,       0,       0
 1.040, 0.0473000 , -0.0072000, 9.6828000, 28.4042000,  32.9437000, 35.2020000, -38.1500000, -12.7590000, 7.7390000, 101219.340000,       0,       0,       0
 1.050, 0.0305000 , -0.0311000, 9.6756000, 28.2822000,  32.9590000, 35.5682000, -38.3610000, -12.7120000, 7.6600000, 101222.610000,       0,       0,       0
 1.060, 0.0245000 , -0.0598000, 9.6732000, 28.4119000,  32.6538000, 35.6827000, -38.0110000, -12.6540000, 7.3130000, 101222.610000,       0,       0,       0
 1.070, 0.0365000 , -0.0861000, 9.6744000, 28.5797000,  32.3257000, 35.6140000, -38.2240000, -12.6750000, 7.1860000, 101219.140000,       0,       0,       0
 1.080, 0.0592000 , -0.1077000, 9.6792000, 28.6636000,  32.3029000, 35.5606000, -38.1210000, -12.6860000, 7.7800000, 101219.140000,       0,       0,       0
 1.090, 0.0819000 , -0.1184000, 9.6875000, 28.6102000,  32.6767000, 35.6903000, -37.9460000, -12.6100000, 7.9430000, 101220.620000,       0,       0,       0
 1.100, 0.0915000 , -0.1160000, 9.6935000, 28.3432000,  33.3252000, 36.0413000, -38.3300000, -12.6020000, 7.7600000, 101220.620000,       0,       0,       0
 1.110, 0.0843000 , -0.1077000, 9.6935000, 27.9541000,  33.9890000, 36.5524000, -38.4110000, -12.6050000, 8.0060000, 101220.440000,       0,       0,       0
 1.120, 0.0628000 , -0.0957000, 9.6875000, 27.5879000,  34.4543000, 37.0789000, -37.9300000, -12.7530000, 7.5330000, 101220.440000,       0,       0,       0
 1.130, 0.0353000 , -0.0802000, 9.6804000, 27.3285000,  34.5840000, 37.4908000, -37.8150000, -13.1750000, 8.1450000, 101218.660000,       0,       0,       0
 1.140, 0.0078000 , -0.0646000, 9.6720000, 27.2446000,  34.3552000, 37.6816000, -37.9640000, -12.7940000, 7.8560000, 101218.660000,       0,       0,       0
 1.150, -0.0102000, -0.0502000, 9.6660000, 27.3666000,  33.8821000, 37.6587000, -38.1990000, -12.7650000, 7.9370000, 101220.990000,       0,       0,       0
 1.160, -0.0054000, -0.0156000, 9.6588000, 27.9465000,  33.0200000, 37.2391000, -38.2990000, -13.0380000, 7.5090000, 101220.990000,       0,       0,       0
 1.170, 0.0102000 , 0.0096000 , 9.6636000, 28.3737000,  32.5928000, 36.8500000, -38.3190000, -13.0640000, 7.5740000, 101218.730000,       0,       0,       0
 1.180, 0.0317000 , 0.0239000 , 9.6732000, 28.6102000,  32.4402000, 36.5601000, -37.9290000, -12.9020000, 7.8750000, 101218.730000,       0,       0,       0
 1.190, 0.0473000 , 0.0227000 , 9.6792000, 28.6331000,  32.5241000, 36.3770000, -38.3500000, -12.9600000, 7.9920000, 101219.090000,       0,       0,       0
 1.200, 0.0520000 , 0.0060000 , 9.6816000, 28.5568000,  32.7835000, 36.2473000, -37.7450000, -12.6390000, 8.0190000, 101219.090000,       0,       0,       0
 1.210, 0.0449000 , -0.0215000, 9.6804000, 28.5492000,  33.0048000, 36.0489000, -37.9460000, -13.0050000, 7.9850000, 101219.260000,       0,       0,       0
 1.220, 0.0341000 , -0.0514000, 9.6720000, 28.7247000,  33.0505000, 35.6674000, -38.0680000, -12.8770000, 8.1400000, 101219.260000,       0,       0,       0
 1.230, 0.0269000 , -0.0754000, 9.6660000, 29.1061000,  32.9666000, 35.1257000, -38.1040000, -12.8190000, 8.1860000, 101219.430000,       0,       0,       0
 1.240, 0.0269000 , -0.0921000, 9.6636000, 29.5944000,  32.8140000, 34.5840000, -38.2060000, -13.0880000, 7.9090000, 101219.430000,       0,       0,       0
 1.250, 0.0317000 , -0.0981000, 9.6672000, 29.9988000,  32.7072000, 34.1949000, -38.2590000, -13.0120000, 8.2270000, 101219.340000,       0,       0,       0
 1.260, 0.0389000 , -0.0957000, 9.6732000, 30.2048000,  32.7530000, 34.0881000, -38.0240000, -13.1270000, 8.1240000, 101219.340000,       0,       0,       0
 1.270, 0.0484000 , -0.0921000, 9.6780000, 30.1971000,  32.9819000, 34.2712000, -38.0790000, -13.2760000, 8.2510000, 101220.840000,       0,       0,       0
 1.280, 0.0496000 , -0.0897000, 9.6816000, 30.0217000,  33.3481000, 34.6527000, -38.0960000, -13.1060000, 8.3630000, 101220.840000,       0,       0,       0
